date,Acura,Audi,Bentley Motors,BMW,Buick,Cadillac,Chevrolet,Chrysler,Coda Automotive,Dodge,Fiat,Fisker Automotive,Ford,General Motors EV,GMC,Honda,HUMMER,Hyundai,Infiniti,Jaguar,Jeep,Kia,Land Rover,Lexus,Lincoln,Mazda,McLaren,Mercedes-Benz,Mercury,Mitsubishi,Nissan,Plymouth,Porsche,QUANTUM-PROCON,Ram,Saab,Saturn,Scion,Smart,Solectria,Suburu,Tesla,Toyota,Vehicle Production Group,Volkswagen,"Wheego Electric Cars, Inc."
1991,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0,1,0,0,0,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,4,0,0,1,0,0,13,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1999,0,0,0,0,0,0,4,2,0,4,0,0,19,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,2,0,0,0
2000,0,0,0,0,0,0,6,2,0,4,0,0,12,2,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0
2001,0,0,0,0,0,0,5,3,0,6,0,0,11,2,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0
2002,0,0,0,0,0,0,7,2,0,6,0,0,13,0,6,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,0,1,0,0,3,0,0,0
2003,0,0,0,0,0,0,7,4,0,6,0,0,11,0,6,3,0,0,0,0,0,0,0,0,0,1,0,1,3,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
2004,0,0,0,0,0,0,8,1,0,2,0,0,11,0,7,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2005,0,0,0,0,0,0,7,1,0,4,0,0,5,0,6,4,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2006,0,0,0,0,0,0,8,1,0,5,0,0,6,0,5,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2007,0,0,0,0,1,0,9,3,0,5,0,0,4,0,4,4,0,0,0,0,2,0,0,0,1,0,0,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0
2008,0,0,0,0,0,0,11,3,0,5,0,0,6,0,5,3,0,0,0,0,2,0,0,0,1,1,0,1,1,0,3,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0
2009,0,0,0,0,1,2,10,4,0,6,0,0,6,0,5,3,1,0,0,0,2,0,0,2,2,1,0,1,2,1,3,0,0,0,0,0,2,0,0,0,0,1,4,0,0,0
2010,0,0,0,1,1,2,11,2,0,4,0,0,7,0,3,3,0,0,0,0,0,0,0,2,2,2,0,2,5,0,3,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0
2011,0,0,3,3,3,4,14,3,0,9,0,0,15,0,8,4,0,1,0,0,2,0,0,5,4,2,0,4,5,0,6,0,0,0,0,1,0,0,0,0,0,1,5,0,1,0
2012,0,0,3,1,4,4,20,3,1,7,0,1,20,0,14,5,0,1,1,0,1,1,0,5,2,1,0,3,0,1,4,0,0,0,2,0,0,0,0,0,0,1,8,1,2,1
2013,1,6,4,3,5,6,26,3,1,8,1,0,26,0,22,6,0,1,1,4,1,1,0,5,2,0,0,6,0,1,3,0,2,0,4,0,0,1,1,0,0,1,10,1,3,0
2014,2,6,4,6,1,4,24,3,0,7,1,0,48,0,19,8,0,1,4,6,1,2,4,5,2,0,1,8,0,1,4,0,2,0,5,0,0,1,1,0,1,1,10,0,2,0
2015,0,7,3,6,3,2,30,5,0,6,1,0,38,0,19,5,0,2,4,5,3,2,3,7,1,0,1,8,0,1,4,0,3,0,6,0,0,0,1,0,1,1,10,0,3,0
